ano_mes_ref;nom_municipio;sgl_uf;macro_regional_ipsemg;micro_regional_ipsemg;bh_rmbh_interior_ipsemg;dsc_sexo;desc_faixa_etaria;qtde_benef
202605;NATALANDIA;MG;NOROESTE;UNAI;INTERIOR;Masculino;19 - 23 ANOS;2
202601;SANTANA DO GARAMBEU;MG;CENTRO SUL;BARBACENA;INTERIOR;Masculino;59+ ANOS;11
202601;ARAPUA;MG;NOROESTE;PATOS DE MINAS;INTERIOR;Feminino;44 - 48 ANOS;2
202606;MATA VERDE;MG;NORDESTE;ALMENARA;INTERIOR;Feminino;54 - 58 ANOS;13
202605;ITANHOMI;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Feminino;54 - 58 ANOS;29
202608;CATAGUASES;MG;SUDESTE;CATAGUASES;INTERIOR;Masculino;59+ ANOS;356
202606;CAMPOS ALTOS;MG;TRIANGULO DO SUL;ARAXA;INTERIOR;Masculino;34 - 38 ANOS;11
202608;MURIAE;MG;SUDESTE;MURIAE;INTERIOR;Masculino;29 - 33 ANOS;179
202604;NACIP RAYDAN;MG;LESTE;PECANHA;INTERIOR;Masculino;49 - 53 ANOS;1
202601;VIRGOLANDIA;MG;LESTE;PECANHA;INTERIOR;Masculino;34 - 38 ANOS;7
202601;LIBERDADE;MG;SUDESTE;JUIZ DE FORA;INTERIOR;Masculino;19 - 23 ANOS;3
202608;CRISTAIS;MG;OESTE;CAMPO BELO;INTERIOR;Feminino;34 - 38 ANOS;3
202602;SOROCABA;SP;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;49 - 53 ANOS;1
202604;OURO BRANCO;MG;CENTRO SUL;CONSELHEIRO LAFAIETE;INTERIOR;Masculino;29 - 33 ANOS;23
202606;SILVIANOPOLIS;MG;SUL;POUSO ALEGRE;INTERIOR;Masculino;19 - 23 ANOS;4
202606;BALDIM;MG;CENTRO;SETE LAGOAS;RMBH;Masculino;49 - 53 ANOS;3
202608;SAO SEBASTIAO DO RIO PRETO;MG;CENTRO;ITABIRA;INTERIOR;Masculino;00 - 18 ANOS;7
202606;SAO JOSE DO ALEGRE;MG;SUL;ITAJUBA;INTERIOR;Feminino;39 - 43 ANOS;2
202601;PEDRA BONITA;MG;SUDESTE;CARANGOLA;INTERIOR;Feminino;49 - 53 ANOS;9
202603;CACHOEIRA DOURADA;MG;TRIANGULO DO NORTE;ITUIUTABA;INTERIOR;Masculino;39 - 43 ANOS;2
202608;ARACUAI;MG;NORDESTE;ARACUAI;INTERIOR;Feminino;29 - 33 ANOS;100
202602;GUARUJA;SP;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;59+ ANOS;1
202607;ITAU DE MINAS;MG;SUL;PASSOS;INTERIOR;Masculino;00 - 18 ANOS;19
202606;CAETE;MG;CENTRO;CAETE;RMBH;Feminino;24 - 28 ANOS;53
202608;ALMENARA;MG;NORDESTE;ALMENARA;INTERIOR;Masculino;29 - 33 ANOS;63
202607;FREI INOCENCIO;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Feminino;00 - 18 ANOS;23
202601;SAO ROQUE DE MINAS;MG;SUL;PIUMHI;INTERIOR;Masculino;00 - 18 ANOS;9
202605;ACAIACA;MG;LESTE DO SUL;PONTE NOVA;INTERIOR;Feminino;00 - 18 ANOS;11
