ano_mes_ref;nom_municipio;sgl_uf;macro_regional_ipsemg;micro_regional_ipsemg;bh_rmbh_interior_ipsemg;dsc_sexo;desc_faixa_etaria;qtde_benef
202512;LAMBARI;MG;SUL;TRES CORACOES;INTERIOR;Masculino;24 - 28 ANOS;25
202512;ALVINOPOLIS;MG;LESTE DO SUL;PONTE NOVA;INTERIOR;Masculino;24 - 28 ANOS;25
202512;PAPAGAIOS;MG;CENTRO;SETE LAGOAS;INTERIOR;Feminino;39 - 43 ANOS;18
202512;UBERLANDIA;MG;TRIANGULO DO NORTE;UBERLANDIA;INTERIOR;Feminino;19 - 23 ANOS;396
202512;SANTA RITA DE IBITIPOCA;MG;CENTRO SUL;BARBACENA;INTERIOR;Feminino;49 - 53 ANOS;4
202512;PIRAUBA;MG;SUDESTE;UBA;INTERIOR;Masculino;00 - 18 ANOS;34
202512;FRANCISCO BADARO;MG;NORDESTE;MINAS NOVAS;INTERIOR;Feminino;39 - 43 ANOS;14
202512;SERRA DOS AIMORES;MG;NORDESTE;NANUQUE;INTERIOR;Masculino;49 - 53 ANOS;10
202512;SANTA BARBARA DO MONTE VERDE;MG;SUDESTE;JUIZ DE FORA;INTERIOR;Feminino;49 - 53 ANOS;3
202512;CENTRAL DE MINAS;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Feminino;29 - 33 ANOS;7
202512;AGUA BOA;MT;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;59+ ANOS;1
202512;CLARO DOS POCOES;MG;NORTE;MONTES CLAROS;INTERIOR;Masculino;29 - 33 ANOS;16
202512;JOSE GONCALVES DE MINAS;MG;NORDESTE;ARACUAI;INTERIOR;Masculino;39 - 43 ANOS;4
202512;SERRA NEGRA;SP;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Feminino;49 - 53 ANOS;1
202512;TAIOBEIRAS;MG;NORTE;TAIOBEIRAS;INTERIOR;Feminino;34 - 38 ANOS;43
202512;CRISTAIS;MG;OESTE;CAMPO BELO;INTERIOR;Feminino;59+ ANOS;103
202512;JAPARAIBA;MG;OESTE;LAGOA DA PRATA;INTERIOR;Feminino;49 - 53 ANOS;13
202512;CAETE;MG;CENTRO;CAETE;RMBH;Feminino;34 - 38 ANOS;29
202512;CORONEL MURTA;MG;NORDESTE;ARACUAI;INTERIOR;Masculino;00 - 18 ANOS;36
202512;LEME DO PRADO;MG;NORDESTE;MINAS NOVAS;INTERIOR;Masculino;59+ ANOS;44
202512;BONITO DE MINAS;MG;NORTE;JANUARIA;INTERIOR;Masculino;34 - 38 ANOS;6
202512;PAPAGAIOS;MG;CENTRO;SETE LAGOAS;INTERIOR;Masculino;54 - 58 ANOS;11
202512;SAO SEBASTIAO DO RIO PRETO;MG;CENTRO;ITABIRA;INTERIOR;Feminino;24 - 28 ANOS;4
202512;PEDRALVA;MG;SUL;ITAJUBA;INTERIOR;Feminino;39 - 43 ANOS;9
202512;CRUCILANDIA;MG;CENTRO;BETIM;INTERIOR;Feminino;00 - 18 ANOS;18
202512;NAQUE;MG;LESTE;IPATINGA;INTERIOR;Feminino;19 - 23 ANOS;4
202512;SANTO HIPOLITO;MG;CENTRO;CORINTO;INTERIOR;Masculino;49 - 53 ANOS;2
202512;CRUCILANDIA;MG;CENTRO;BETIM;INTERIOR;Masculino;19 - 23 ANOS;6
202512;PINTOPOLIS;MG;NORTE;SAO FRANCISCO;INTERIOR;Feminino;29 - 33 ANOS;7
202512;ROSARIO DA LIMEIRA;MG;SUDESTE;MURIAE;INTERIOR;Masculino;19 - 23 ANOS;8
202512;SANTANA DO DESERTO;MG;SUDESTE;JUIZ DE FORA;INTERIOR;Feminino;00 - 18 ANOS;1
202512;LUMINARIAS;MG;SUL;LAVRAS;INTERIOR;Feminino;49 - 53 ANOS;6
202512;FRANCISCO SA;MG;NORTE;MONTES CLAROS;INTERIOR;Masculino;54 - 58 ANOS;30
202512;CAPELA NOVA;MG;CENTRO SUL;CONSELHEIRO LAFAIETE;INTERIOR;Feminino;29 - 33 ANOS;6
202512;PIRAUBA;MG;SUDESTE;UBA;INTERIOR;Feminino;59+ ANOS;155
202512;DIVISA ALEGRE;MG;NORDESTE;PEDRA AZUL;INTERIOR;Masculino;49 - 53 ANOS;2
202512;MADRE DE DEUS DE MINAS;MG;CENTRO SUL;SAO JOAO DEL REI;INTERIOR;Masculino;44 - 48 ANOS;2
202512;ARAPUA;MG;NOROESTE;PATOS DE MINAS;INTERIOR;Masculino;39 - 43 ANOS;3
202512;CARANDAI;MG;CENTRO SUL;BARBACENA;INTERIOR;Masculino;34 - 38 ANOS;5
202512;ORIZANIA;MG;SUDESTE;CARANGOLA;INTERIOR;Feminino;29 - 33 ANOS;11
202512;INIMUTABA;MG;CENTRO;CURVELO;INTERIOR;Feminino;54 - 58 ANOS;9
202512;SAO JOAQUIM DE BICAS;MG;CENTRO;BETIM;RMBH;Feminino;39 - 43 ANOS;43
202512;DIVISA NOVA;MG;SUL;ALFENAS;INTERIOR;Masculino;00 - 18 ANOS;9
202512;AREADO;MG;SUL;ALFENAS;INTERIOR;Masculino;39 - 43 ANOS;6
202512;POCOS DE CALDAS;MG;SUL;POCOS DE CALDAS;INTERIOR;Masculino;24 - 28 ANOS;52
202512;CORREGO DANTA;MG;OESTE;FORMIGA;INTERIOR;Feminino;00 - 18 ANOS;3
202512;SANTA RITA DE MINAS;MG;LESTE;CARATINGA;INTERIOR;Masculino;44 - 48 ANOS;4
202512;PEDRALVA;MG;SUL;ITAJUBA;INTERIOR;Masculino;49 - 53 ANOS;2
202512;CARRANCAS;MG;SUL;LAVRAS;INTERIOR;Feminino;00 - 18 ANOS;13
202512;PIRANGUINHO;MG;SUL;ITAJUBA;INTERIOR;Feminino;39 - 43 ANOS;7
202512;SAO SEBASTIAO DO PARAISO;MG;SUL;SAO SEBASTIAO DO PARAISO;INTERIOR;Masculino;39 - 43 ANOS;26
202512;CAETANOPOLIS;MG;CENTRO;SETE LAGOAS;INTERIOR;Masculino;49 - 53 ANOS;7
202512;GUIMARANIA;MG;NOROESTE;PATOS DE MINAS;INTERIOR;Feminino;24 - 28 ANOS;19
202512;BUGRE;MG;LESTE;IPATINGA;INTERIOR;Masculino;19 - 23 ANOS;2
202512;LAVRAS;MG;SUL;LAVRAS;INTERIOR;Masculino;00 - 18 ANOS;149
202512;ALTO JEQUITIBA;MG;LESTE DO SUL;MANHUACU;INTERIOR;Masculino;24 - 28 ANOS;11
202512;PRUDENTE DE MORAIS;MG;CENTRO;SETE LAGOAS;INTERIOR;Feminino;44 - 48 ANOS;19
202512;INHAPIM;MG;LESTE;CARATINGA;INTERIOR;Feminino;29 - 33 ANOS;45
202512;PASSABEM;MG;CENTRO;ITABIRA;INTERIOR;Masculino;00 - 18 ANOS;8
202512;GURINHATA;MG;TRIANGULO DO NORTE;ITUIUTABA;INTERIOR;Feminino;24 - 28 ANOS;6
202512;COROMANDEL;MG;TRIANGULO DO NORTE;PATROCINIO;INTERIOR;Masculino;29 - 33 ANOS;43
202512;RAUL SOARES;MG;LESTE DO SUL;RAUL SOARES;INTERIOR;Masculino;00 - 18 ANOS;57
202512;SERITINGA;MG;SUL;SAO LOURENCO;INTERIOR;Feminino;34 - 38 ANOS;2
202512;PONTO CHIQUE;MG;NORTE;PIRAPORA;INTERIOR;Feminino;00 - 18 ANOS;16
202512;ESMERALDAS;MG;CENTRO;CONTAGEM;RMBH;Masculino;00 - 18 ANOS;201
202512;OLHOS D AGUA;MG;NORTE;BOCAIUVA;INTERIOR;Feminino;24 - 28 ANOS;9
202512;ALPERCATA;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Feminino;24 - 28 ANOS;4
